epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,306.365,0.79715,5.0195,0.01657,0.46036,0.48158,0.4474,0.34425,0.76549,7.34599,0.0238,0.00199153,0.000663842,0.00199153,0.000663842,0.00199153,0.000663842,0.00199153,0.000663842
2,603.005,0.81545,2.87371,0.01707,0.80288,0.76103,0.82188,0.6136,0.81186,3.22841,0.02578,0.00372808,0.00124269,0.00372808,0.00124269,0.00372808,0.00124269,0.00372808,0.00124269
3,910.388,0.8148,1.7066,0.01682,0.83528,0.78732,0.87698,0.6564,0.86647,1.62199,0.0281,0.00520064,0.00173355,0.00520064,0.00173355,0.00520064,0.00173355,0.00520064,0.00173355
4,1227.55,0.85412,1.19323,0.01779,0.85689,0.84211,0.89065,0.66897,0.87583,1.04101,0.02834,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
5,1541.98,0.82618,1.01304,0.01703,0.89951,0.82444,0.91174,0.70421,0.81721,0.85137,0.02603,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
6,1861.26,0.73675,0.746,0.02115,0.92516,0.81328,0.91414,0.70555,0.81135,0.74564,0.02555,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
7,2175.47,0.67455,0.54519,0.01883,0.86643,0.87056,0.92121,0.70973,0.82078,0.69392,0.02602,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
8,2496.56,0.64036,0.46647,0.01733,0.9079,0.83684,0.92452,0.71768,0.81426,0.69352,0.02551,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
9,2822.18,0.6071,0.37721,0.01653,0.92285,0.86316,0.9323,0.73126,0.80935,0.63982,0.0253,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
10,3146.55,0.57908,0.34199,0.01549,0.92233,0.86316,0.92698,0.72666,0.80036,0.64528,0.02505,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
11,3477.39,0.55983,0.30976,0.01498,0.91276,0.86316,0.93295,0.74729,0.76293,0.61658,0.02343,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
12,3807.15,0.53204,0.29264,0.01418,0.93391,0.85523,0.9301,0.74472,0.75396,0.62661,0.02328,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
13,4137.14,0.51152,0.26264,0.01344,0.91191,0.85,0.93022,0.74943,0.76971,0.62024,0.02397,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
14,4474.36,0.50614,0.25931,0.01348,0.91347,0.86126,0.93059,0.74333,0.77818,0.62504,0.02419,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
15,4825.43,0.47898,0.23104,0.01258,0.93204,0.86579,0.93166,0.75229,0.76062,0.6273,0.02353,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
