epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,808.42,0.64416,1.28277,1.01601,0.90665,0.83689,0.88544,0.80128,0.49375,0.59666,0.80908,0.00199929,0.000666429,0.00199929,0.000666429,0.00199929,0.000666429,0.00199929,0.000666429
2,1420.62,0.45762,0.63208,0.91214,0.91996,0.85287,0.91501,0.83761,0.44118,0.45075,0.7833,0.00373533,0.00124511,0.00373533,0.00124511,0.00373533,0.00124511,0.00373533,0.00124511
3,1985.16,0.43945,0.54333,0.90371,0.92044,0.86523,0.92535,0.84821,0.42542,0.42224,0.78483,0.00520738,0.00173579,0.00520738,0.00173579,0.00520738,0.00173579,0.00520738,0.00173579
4,2530.63,0.4278,0.50219,0.89811,0.92834,0.87293,0.93151,0.85999,0.41275,0.39202,0.77769,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
5,3073.72,0.40977,0.46717,0.89208,0.93939,0.86938,0.93071,0.86329,0.4046,0.38634,0.77773,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
6,3600.24,0.40021,0.40027,0.8788,0.93668,0.87678,0.93559,0.86958,0.40145,0.37304,0.77713,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
7,4124.13,0.38669,0.37625,0.87341,0.93653,0.87814,0.93564,0.87181,0.39144,0.36045,0.76641,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
8,4648.13,0.37614,0.35949,0.86909,0.94458,0.87959,0.94079,0.87879,0.3822,0.341,0.76475,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
9,5173.97,0.36706,0.34332,0.86542,0.94641,0.88222,0.94594,0.88295,0.37734,0.33427,0.76552,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
10,5697.42,0.35707,0.32892,0.86257,0.94612,0.88629,0.94695,0.88613,0.36287,0.32391,0.7594,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
11,6221,0.34697,0.31308,0.85707,0.95369,0.8797,0.94618,0.88713,0.36565,0.31993,0.76256,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
12,6747.43,0.33772,0.30103,0.85411,0.94914,0.88656,0.94908,0.89234,0.35182,0.30817,0.75758,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
13,7273.87,0.3241,0.28972,0.85056,0.94842,0.8927,0.94866,0.89344,0.34264,0.30068,0.75268,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
14,7796.73,0.31429,0.28003,0.84815,0.94983,0.8945,0.95113,0.89495,0.33936,0.29587,0.75331,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
15,8319.56,0.30657,0.26935,0.84517,0.94306,0.89853,0.95168,0.89812,0.33251,0.29154,0.75037,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
