epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,106.374,2.42747,4.68975,1.63882,0.40514,0.66511,0.43711,0.1555,1.99544,2.53173,1.41972,0.00165769,0.000552562,0.00165769,0.000552562,0.00165769,0.000552562,0.00165769,0.000552562
2,178.879,1.92636,3.1222,1.39016,0.75211,0.75305,0.81259,0.31802,1.92652,1.67418,1.37882,0.00302547,0.00100849,0.00302547,0.00100849,0.00302547,0.00100849,0.00302547,0.00100849
3,242.976,1.84781,2.27764,1.32741,0.79888,0.81922,0.85655,0.35862,1.8744,1.52402,1.36715,0.00409318,0.00136439,0.00409318,0.00136439,0.00409318,0.00136439,0.00409318,0.00136439
4,304.184,1.79736,1.75372,1.31411,0.82955,0.82581,0.86675,0.37192,1.87617,1.09978,1.36033,0.00365073,0.00121691,0.00365073,0.00121691,0.00365073,0.00121691,0.00365073,0.00121691
5,365.637,1.75767,1.44228,1.30136,0.84294,0.84276,0.87784,0.3653,1.8704,1.07691,1.35657,0.00320064,0.00106688,0.00320064,0.00106688,0.00320064,0.00106688,0.00320064,0.00106688
6,428.359,1.72491,1.2592,1.27278,0.83401,0.89637,0.91745,0.40794,1.84689,0.95361,1.35661,0.00275055,0.00091685,0.00275055,0.00091685,0.00275055,0.00091685,0.00275055,0.00091685
7,488.69,1.69072,1.15095,1.25564,0.86085,0.88226,0.91154,0.40923,1.8223,0.96398,1.33693,0.00230046,0.00076682,0.00230046,0.00076682,0.00230046,0.00076682,0.00230046,0.00076682
8,551.367,1.65563,1.09915,1.23081,0.86368,0.87886,0.92608,0.41569,1.84791,0.92185,1.3616,0.00185037,0.00061679,0.00185037,0.00061679,0.00185037,0.00061679,0.00185037,0.00061679
9,614.036,1.62274,1.02556,1.20949,0.84722,0.87933,0.90777,0.40839,1.8389,0.925,1.35698,0.00140028,0.00046676,0.00140028,0.00046676,0.00140028,0.00046676,0.00140028,0.00046676
10,675.563,1.59333,0.99531,1.20155,0.87216,0.92461,0.92429,0.42307,1.82859,0.88361,1.32919,0.00095019,0.00031673,0.00095019,0.00031673,0.00095019,0.00031673,0.00095019,0.00031673
11,737.458,1.56023,0.95237,1.18928,0.86052,0.9202,0.9191,0.41747,1.80819,0.88469,1.32476,0.0005001,0.0001667,0.0005001,0.0001667,0.0005001,0.0001667,0.0005001,0.0001667
