epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1528.96,1.56146,8.67072,0.02097,0.25407,0.11655,0.09522,0.04584,1.64426,9.15179,0.02695,0.00199848,0.000666159,0.00199848,0.000666159,0.00199848,0.000666159,0.00199848,0.000666159
2,3177.89,1.48396,3.56345,0.02039,0.39956,0.28125,0.24882,0.1048,1.73211,3.8121,0.03092,0.00373458,0.00124486,0.00373458,0.00124486,0.00373458,0.00124486,0.00373458,0.00124486
3,4898.53,1.57407,2.80596,0.02205,0.43384,0.31454,0.28659,0.12022,1.81212,3.10138,0.03253,0.00520668,0.00173556,0.00520668,0.00173556,0.00520668,0.00173556,0.00520668,0.00173556
4,6691.14,1.61867,2.64321,0.02272,0.4574,0.36064,0.33884,0.14711,1.80546,2.77884,0.03274,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
5,8423.79,1.61339,2.47576,0.02246,0.4522,0.36571,0.34309,0.15704,1.79094,2.69696,0.0319,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
6,10158.3,1.70614,2.296,0.03069,0.48121,0.37525,0.37515,0.16354,1.7921,2.58065,0.03211,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134,0.00402,0.00134
7,12014.1,1.68891,2.11137,0.02984,0.53328,0.38091,0.39581,0.17754,1.83052,2.48912,0.03305,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
8,13984.3,1.65272,1.96254,0.02928,0.54897,0.37922,0.39351,0.18252,1.81804,2.41792,0.03203,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
9,16030.2,1.63549,1.8212,0.02865,0.51282,0.4223,0.41171,0.18247,1.902,2.35027,0.03384,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
10,17971.9,1.59246,1.67874,0.02757,0.51705,0.38429,0.40592,0.18423,1.84732,2.4149,0.03308,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
11,19851.5,1.56294,1.56047,0.02666,0.54823,0.41047,0.42182,0.19209,1.89834,2.29488,0.0339,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
12,21807.4,1.50987,1.44005,0.02566,0.55017,0.41132,0.42067,0.18801,1.92203,2.31428,0.03429,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
13,23719.3,1.46743,1.34998,0.02484,0.54722,0.41216,0.42825,0.18979,1.92161,2.32097,0.03416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
14,25653.7,1.44383,1.27116,0.02405,0.55841,0.42821,0.43282,0.19249,1.95403,2.3185,0.03497,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
15,27604.6,1.40919,1.20976,0.02321,0.53677,0.42821,0.42885,0.19357,1.93363,2.35521,0.03481,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
